NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200401;72.5;12.0;17;7;1;0;0;0;6.6;17.0;-0.1;1;0;0;0;31;31;0;0.6;-7.8;9.1;2;0;31;31;31;0;0;14;6.0;13.4;3.6;-1.8;13.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200402;49.0;35.0;4;2;1;1;0;0;8.2;15.4;2.2;0;0;0;0;29;29;0;-0.2;-7.4;5.0;2;0;29;29;29;0;0;15;8.4;15.4;4.0;-1.7;8.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200403;54.5;31.0;6;3;1;1;0;0;11.5;22.4;2.4;0;0;0;0;29;31;0;2.2;-3.2;10.4;0;0;30;31;31;0;0;11;9.3;17.3;6.9;0.4;15.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200404;29.0;6.5;10;1;0;0;0;0;15.7;23.8;7.6;0;0;0;0;27;30;0;6.1;0.2;11.6;0;0;28;30;30;0;0;0;9.6;17.4;10.9;5.1;15.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200405;25.5;12.5;4;2;1;0;0;0;20.5;28.5;11.7;0;6;0;0;14;28;0;8.4;3.1;14.1;0;0;21;31;31;0;0;0;12.1;19.0;14.4;9.2;20.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200406;15.5;9.5;4;1;0;0;0;0;25.8;33.8;15.5;0;16;5;0;1;19;3;13.6;9.8;20.1;0;0;2;22;29;1;0;0;12.2;20.1;19.7;13.9;24.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200407;76.0;24.0;8;4;3;0;0;0;26.9;34.0;19.7;0;20;11;0;1;17;2;14.2;8.4;19.3;0;0;4;17;31;0;0;0;12.7;21.9;20.6;15.3;25.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200408;130.0;28.0;12;9;6;0;0;0;26.3;34.3;19.0;0;19;5;0;1;21;3;14.9;9.7;19.3;0;0;2;16;31;0;0;0;11.4;17.0;20.6;16.1;26.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200409;20.5;9.0;4;1;0;0;0;0;23.1;29.7;15.0;0;11;0;0;9;21;0;11.5;6.2;15.9;0;0;11;27;30;0;0;0;11.6;18.1;17.3;12.5;22.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200410;118.0;29.0;15;8;4;0;0;0;18.3;27.4;10.0;0;2;0;0;22;30;0;9.8;4.5;14.2;0;0;17;31;31;0;0;0;8.5;16.6;14.1;8.6;20.3
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200411;84.0;26.5;10;5;4;0;0;0;9.5;16.4;5.2;0;0;0;0;30;30;0;3.6;-2.1;11.0;0;0;28;30;30;0;0;7;5.8;11.6;6.5;2.6;12.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200412;26.0;8.0;9;2;0;0;0;0;5.0;13.0;-0.6;4;0;0;0;31;31;0;0.2;-5.9;5.9;2;0;31;31;31;0;0;18;4.8;11.7;2.6;-1.9;8.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200501;34.0;15.0;6;4;1;0;0;0;6.2;14.0;-1.7;6;0;0;0;31;31;0;-0.8;-9.0;6.5;5;0;31;31;31;0;0;17;7.0;14.0;2.7;-4.2;9.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200502;12.5;3.5;6;0;0;0;0;0;5.1;13.5;-1.2;1;0;0;0;28;28;0;-1.8;-7.5;5.9;5;0;28;28;28;0;0;20;6.9;13.7;1.6;-4.4;9.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200503;20.5;5.5;6;2;0;0;0;0;12.7;23.1;1.7;0;0;0;0;26;31;0;2.1;-11.6;9.7;3;2;31;31;31;0;0;12;10.6;18.9;7.4;-5.0;14.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200504;120.0;32.5;9;7;3;2;0;0;15.9;28.1;6.5;0;2;0;0;25;29;0;6.1;1.9;11.1;0;0;28;30;30;0;0;0;9.8;17.8;11.0;4.6;19.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200505;45.5;10.5;8;4;3;0;0;0;21.9;31.7;15.3;0;7;4;0;14;25;0;9.9;3.6;16.2;0;0;15;30;31;0;0;0;12.0;20.8;15.9;10.6;23.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200506;59.5;16.0;8;6;3;0;0;0;27.1;36.3;19.3;0;18;11;2;4;16;8;14.3;7.1;19.9;0;0;5;16;30;0;0;0;12.8;18.0;20.7;13.9;27.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200507;29.5;15.0;5;2;1;0;0;0;27.4;37.1;17.1;0;23;9;2;2;18;6;15.6;11.0;19.7;0;0;0;13;31;0;0;0;11.9;17.9;21.5;14.4;28.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200508;13.5;5.0;6;1;0;0;0;0;25.6;33.1;19.2;0;19;3;0;3;21;2;13.0;8.1;17.8;0;0;4;24;31;0;0;0;12.6;19.6;19.3;14.0;23.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200509;47.5;12.0;7;4;1;0;0;0;23.4;33.0;15.1;0;11;4;0;6;26;2;11.8;5.1;18.0;0;0;9;24;30;0;0;0;11.6;18.8;17.6;12.0;24.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200510;60.0;23.0;7;4;2;0;0;0;20.2;23.9;11.7;0;0;0;0;10;31;0;9.5;6.1;13.4;0;0;18;31;31;0;0;0;10.7;17.8;14.9;10.0;17.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200511;38.0;21.0;7;3;1;0;0;0;9.7;22.0;-0.9;1;0;0;0;29;30;0;2.3;-5.0;10.4;3;0;29;30;30;0;0;10;7.5;16.7;6.0;-3.0;15.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200512;26.5;12.0;6;2;1;0;0;0;4.5;13.4;-2.2;4;0;0;0;31;31;0;-1.3;-11.7;6.8;7;1;31;31;31;0;0;18;5.8;13.5;1.6;-5.0;10.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200601;28.5;10.0;4;3;2;0;0;0;4.0;11.0;-2.3;5;0;0;0;31;31;0;-1.9;-7.3;5.0;7;0;31;31;31;0;0;22;5.8;13.2;1.0;-3.7;7.3
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200602;25.0;10.5;6;2;1;0;0;0;5.7;13.9;-3.3;3;0;0;0;28;28;0;-0.7;-6.0;5.9;4;0;28;28;28;0;0;16;6.4;11.6;2.5;-4.4;9.6
