Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;05/01/2021;16:00;1522
Grand Lyon;Données temps réel;05/01/2021;16:15;1532
Grand Lyon;Données temps réel;05/01/2021;16:30;1523
Grand Lyon;Données temps réel;05/01/2021;16:45;1532
Grand Lyon;Données temps réel;05/01/2021;17:00;1536
Grand Lyon;Données temps réel;05/01/2021;17:15;1549
Grand Lyon;Données temps réel;05/01/2021;17:30;1560
Grand Lyon;Données temps réel;05/01/2021;17:45;1565
Grand Lyon;Données temps réel;05/01/2021;18:00;1587
Grand Lyon;Données temps réel;05/01/2021;18:15;1583
Grand Lyon;Données temps réel;05/01/2021;18:30;1599
Grand Lyon;Données temps réel;05/01/2021;18:45;1599
Grand Lyon;Données temps réel;05/01/2021;19:00;1601
Grand Lyon;Données temps réel;05/01/2021;19:15;1598
Grand Lyon;Données temps réel;05/01/2021;19:30;1585
Grand Lyon;Données temps réel;05/01/2021;19:45;1553
Grand Lyon;Données temps réel;05/01/2021;20:00;1546
Grand Lyon;Données temps réel;05/01/2021;20:15;1506
Grand Lyon;Données temps réel;05/01/2021;20:30;1473
Grand Lyon;Données temps réel;05/01/2021;20:45;1467
Grand Lyon;Données temps réel;05/01/2021;21:00;1439
Grand Lyon;Données temps réel;05/01/2021;21:15;1413
Grand Lyon;Données temps réel;05/01/2021;21:30;1379
Grand Lyon;Données temps réel;05/01/2021;21:45;1359
Grand Lyon;Données temps réel;05/01/2021;22:00;1352
Grand Lyon;Données temps réel;05/01/2021;22:15;1354
Grand Lyon;Données temps réel;05/01/2021;22:30;1398
Grand Lyon;Données temps réel;05/01/2021;22:45;1420
Grand Lyon;Données temps réel;05/01/2021;23:00;1421
Grand Lyon;Données temps réel;05/01/2021;23:15;1423
